"Time (s)","X (hPa)"
-5.574086667E-1,1.017393799E3
4.446673333E-1,1.017397690E3
1.446721333E0,1.017397003E3
2.448752333E0,1.017397003E3
3.450785333E0,1.017397003E3
3.806490333E0,1.017397537E3
4.875335333E0,1.017400055E3
5.944153333E0,1.017405167E3
7.012999333E0,1.017413864E3
8.081836333E0,1.017420120E3
9.150688333E0,1.017428360E3
1.021950933E1,1.017437439E3
1.128835333E1,1.017442398E3
1.235719333E1,1.017471848E3
1.342604033E1,1.017503738E3
1.449489733E1,1.017532959E3
1.556376233E1,1.017558670E3
1.663265333E1,1.017583694E3
1.770156633E1,1.017583694E3
1.877046333E1,1.017580566E3
1.983930833E1,1.017574692E3
2.090818933E1,1.017571335E3
2.197704633E1,1.017567902E3
2.304590933E1,1.017565384E3
2.411475533E1,1.017565384E3
2.518363033E1,1.017566605E3
2.625247433E1,1.017567749E3
2.732126533E1,1.017568970E3
2.839009533E1,1.017570419E3
2.945892833E1,1.017570419E3
3.052777333E1,1.017568054E3
3.159667633E1,1.017566605E3
3.266554433E1,1.017562408E3
3.373444333E1,1.017562408E3
3.480340833E1,1.017568054E3
3.587231933E1,1.017585602E3
3.694128033E1,1.017587433E3
3.801018833E1,1.017599335E3
3.907912033E1,1.017599335E3
4.014810133E1,1.017595901E3
4.121702933E1,1.017574844E3
4.228594633E1,1.017574844E3
4.335486533E1,1.017595520E3
4.442374033E1,1.017613373E3
4.549258833E1,1.017643738E3
4.656144733E1,1.017674866E3
4.763030233E1,1.017674866E3
4.869918633E1,1.017644119E3
4.976801733E1,1.017616272E3
5.083685033E1,1.017595673E3
5.190571733E1,1.017577744E3
5.297465133E1,1.017577744E3
5.404355233E1,1.017575073E3
5.511246933E1,1.017572098E3
5.618140633E1,1.017564087E3
5.725034833E1,1.017554016E3
5.831929933E1,1.017527924E3
5.938819833E1,1.017507629E3
6.045708433E1,1.017502060E3
6.152596333E1,1.017498474E3
6.259487833E1,1.017498474E3
6.366376733E1,1.017513733E3
6.473263333E1,1.017551270E3
6.580155233E1,1.017581787E3
6.687044633E1,1.017606888E3
6.793937233E1,1.017633743E3
6.900827633E1,1.017655640E3
7.007718033E1,1.017655640E3
7.114613933E1,1.017635727E3
7.221506833E1,1.017612991E3
7.328396733E1,1.017579422E3
7.435288433E1,1.017540970E3
7.542184433E1,1.017503662E3
7.649078833E1,1.017481842E3
7.755972633E1,1.017457199E3
7.862862833E1,1.017442398E3
7.969756933E1,1.017435913E3
8.076652033E1,1.017435913E3
8.183542633E1,1.017453842E3
8.290438433E1,1.017483902E3
8.397329633E1,1.017509766E3
8.504225633E1,1.017536545E3
8.611120433E1,1.017566833E3
8.718012133E1,1.017582932E3
8.824905833E1,1.017588272E3
8.931800233E1,1.017593765E3
9.038695933E1,1.017593765E3
9.145592733E1,1.017590866E3
9.252492133E1,1.017585220E3
9.359386133E1,1.017577972E3
9.466277433E1,1.017571716E3
9.573174233E1,1.017567902E3
9.680073033E1,1.017567902E3
9.786963333E1,1.017567902E3
9.893854633E1,1.017568283E3
1.000074453E2,1.017569427E3
1.010763783E2,1.017572556E3
1.021453463E2,1.017579651E3
1.032142243E2,1.017582474E3
1.042831523E2,1.017599716E3
1.053521203E2,1.017623520E3
1.064210243E2,1.017649384E3
1.074899813E2,1.017670212E3
1.085589143E2,1.017691650E3
1.096278743E2,1.017694473E3
1.106968563E2,1.017694473E3
1.117658493E2,1.017678833E3
1.128348563E2,1.017657623E3
1.139037983E2,1.017634201E3
1.149727523E2,1.017606583E3
1.160417523E2,1.017582474E3
1.171107323E2,1.017552948E3
1.181796823E2,1.017529755E3
1.192487083E2,1.017529755E3
1.203177143E2,1.017539520E3
1.213866723E2,1.017569733E3
1.224556163E2,1.017609329E3
1.235246343E2,1.017644730E3
1.245936223E2,1.017644730E3
1.256626223E2,1.017639694E3
1.267316293E2,1.017603073E3
1.278006303E2,1.017560806E3
1.288696423E2,1.017522202E3
1.299386593E2,1.017492981E3
1.310076623E2,1.017471085E3
1.320766073E2,1.017471085E3
1.331455833E2,1.017479248E3
1.342145783E2,1.017493591E3
1.352835933E2,1.017504730E3
1.363525993E2,1.017511215E3
1.374216313E2,1.017511215E3
1.384906463E2,1.017507858E3
1.395596753E2,1.017486496E3
1.406286813E2,1.017461395E3
1.416977363E2,1.017441025E3
1.427667053E2,1.017406845E3
1.438356753E2,1.017370834E3
1.449046803E2,1.017346268E3
1.459736773E2,1.017334290E3
1.470427343E2,1.017327881E3
1.481118013E2,1.017327881E3
1.491808533E2,1.017336349E3
1.502498803E2,1.017358170E3
1.513189083E2,1.017387238E3
1.523879193E2,1.017421646E3
1.534569813E2,1.017477341E3
1.545260463E2,1.017540741E3
1.555951153E2,1.017598190E3
1.566641353E2,1.017641754E3
1.577331503E2,1.017678604E3
1.588021503E2,1.017678604E3
1.598712013E2,1.017660370E3
1.609402533E2,1.017619705E3
1.620092743E2,1.017587738E3
1.630782403E2,1.017551956E3
1.641472513E2,1.017523117E3
1.652163033E2,1.017514801E3
1.662853463E2,1.017512054E3
1.673544083E2,1.017511520E3
1.684234543E2,1.017508087E3
1.694925293E2,1.017504349E3
1.705615803E2,1.017502594E3
1.716306163E2,1.017502365E3
1.726995933E2,1.017502365E3
1.737685463E2,1.017511444E3
1.748375243E2,1.017523422E3
1.759065193E2,1.017536545E3
1.769755573E2,1.017547302E3
