,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,bar_pressure,labelcycling,labelmetro,labeltram,labelwalking,labelbus,labelstanding,person,session
2026-06-07 13:50:02.554542991,-0.2309121515669615,0.2062286423419231,0.4265184748653846,0.2121799313138461,-0.7028734162153848,0.0100164071545769,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:02.804542991,1.0405995229979998,-0.1362822714379999,-1.119025750328,-0.1185168964404,-1.452697939808,-0.0198984893763999,1021.620941,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:03.054542991,0.820939073026,-0.03757612568332,-0.2028092511215999,-0.2909109047415999,-1.331556453636,-0.2353211623332,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:03.304542991,-0.493272597644,1.830152631224,0.38444155209516,-1.550600662252,-1.1781672761831998,-0.572311419272,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:03.554542991,1.14657096006,-0.050019702138,-0.154931182212,-2.21487959856,1.0091199707864,-1.3439229964799997,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:03.804542991,0.6051545433800001,-1.0496941770524,-0.27456751826464,-1.23657394416,0.671049668796,-0.21445622890012,1021.620636,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:04.054542991,1.080988615516,-0.8332663133684001,-0.01600556002244,-1.152400188496,0.534892735488,1.214798621008,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:04.304542991,1.1521079370240002,-0.2735460389448,0.0272176661855999,-0.7047484278599999,0.2441574810384,,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:04.554542991,-0.2310491538031999,0.0200068915487999,-0.0703886182976,-0.2039786307978639,-0.1061938557568799,,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:04.804542991,0.0653632902192,0.1383332407924,0.3863863492048,0.0502522728715119,-1.381792826704,0.3228301703839999,1021.605759,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:05.054542991,0.5054866943487999,0.5931247742360001,-0.7337436566320001,0.6628380561080001,-1.355640635556,0.3305315342464,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:05.304542991,0.01114381071264,0.274889255488,0.5503371539280001,0.32368583123424,-0.38448661031692,-0.4861024199444,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:05.554542991,0.64063005682436,-0.524126822718,0.230089362644,-0.778743968004,-0.20857104005464,0.1401106745764,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:05.804542991,0.205167289906,-0.783436476056,0.4046071619527999,-0.5698154675880001,-0.2563259333336,-0.1212463156650879,1021.605072,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:06.054542991,0.7054263630319998,-1.3265992718839998,0.2586556072772,-0.1612993670337999,0.2117016760968,0.2712912462812279,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:06.304542991,0.3144891767330769,0.2946349222126923,-0.110815329071923,-0.087235897855,0.3513794885230769,0.6211336670592308,1021.599274,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:06.554542991,0.0895893893082799,-0.1808388791595999,-0.1306130684228,-0.4461275422656,0.56893360283508,0.07209302861004,,1,0,0,0,0,0,giray,giray_cycling_s1
2026-06-07 13:50:06.804542991,-0.0382677928049999,0.4639278137896799,-0.2006213136403999,-0.0413661937415999,-0.1357311359024,0.1815544844392,,1,0,0,0,0,0,giray,giray_cycling_s1
